id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg36330556,https://bitcointalk.org/index.php?topic=2971918.0,,848,Announcements (Altcoins),2018-05-04 20:23:14,leraroza,Newbie,57,0,,[ANN][ICO] Noxbox - world of services in a single click,"A good idea. What are the next steps in your development? I want to ask whether your project in other languages? If so, on what? The project is very interesting and I'm sure it will be a success! To what extent do you plan to use? Thank you.",False
2,msg36331243,https://bitcointalk.org/index.php?topic=2971918.0,,848,Announcements (Altcoins),2018-05-04 20:34:19,AlexDevICO,Newbie,186,0,,[ANN][ICO] Noxbox - world of services in a single click,What interesting idea! I support the project! I will monitor development and to participate!,False
3,msg36331375,https://bitcointalk.org/index.php?topic=2971918.0,,848,Announcements (Altcoins),2018-05-04 20:36:14,AlexDevICO,Newbie,186,0,,[ANN][ICO] Noxbox - world of services in a single click,"Beauty industry will always be demanded) such projects are necessary, they have a big future.",False
4,msg36557707,https://bitcointalk.org/index.php?topic=2971918.0,msg36330556,848,Announcements (Altcoins),2018-05-07 07:52:46,Noxbox,Copper Member,45,0,,[ANN][ICO] Noxbox - world of services in a single click,"   Thank you for warm words! You can see our plan in git repository. There are issues we are working on now - https://github.com/Lipnevich/noxbox/issues.  Now there are only English and Russian languages. We are going to add translations in September, 2018. In case you want to help us with some language translation we will be happy to send you all messages from both applications.  Our plan - create world labor exchange where everyone can offer service or request it.",False
5,msg36558211,https://bitcointalk.org/index.php?topic=2971918.0,msg36331375,848,Announcements (Altcoins),2018-05-07 07:59:32,Noxbox,Copper Member,45,0,,[ANN][ICO] Noxbox - world of services in a single click,"   Yup! We are open source and each company can create its own application for employees. We can help with initial system setup. Now cloud service processing cost about 1 cent per one service (find customer for performer, help to find each other with map, process payment, store history and rating). There is no payments for idle time. Even 2 cents application fee generates 1 cent profit. For comparison - Uber take 20% as a fee now.",False
6,msg39434213,https://bitcointalk.org/index.php?topic=2971918.0,,848,Announcements (Altcoins),2018-06-05 13:38:54,VictoriaKuz,Newbie,34,0,,[ANN][ICO] Noxbox - world of services in a single click,"Hello guys, We reviewed Noxbox, here is the link: https://expert-coin.com/icos/noxbox.html If you have questions or comments, please don't hesitate to contact us. Thank you and good luck with the project!",False
7,msg40975504,https://bitcointalk.org/index.php?topic=2971918.0,,848,Announcements (Altcoins),2018-06-26 21:43:27,j.inacio,Newbie,131,0,,[ANN][ICO] Noxbox - world of services in a single click,hii all community Noxbox in process of listing vote in nanu.exchange  https://nanu.exchange/voting |o/o/o/,False
8,msg41575269,https://bitcointalk.org/index.php?topic=2971918.0,,848,Announcements (Altcoins),2018-07-05 15:00:27,ranggenga,Sr. Member,714,250,,[ANN][ICO] Noxbox - world of services in a single click,"Noxbox surely is interesting, it provide us a choice of service that we need in an easy access, this way we could get what we need and with the cheapest price possible. This way we could save some fund for the same service that probably applied in other place.",False
9,msg43652944,https://bitcointalk.org/index.php?topic=2971918.0,,848,Announcements (Altcoins),2018-08-07 13:59:31,dan_hpr,Newbie,17,0,,[ANN][ICO] Noxbox - world of services in a single click,It' ready for trade!!!  https://nanu.exchange/exchange#btc_nbx  https://nanu.exchange/exchange#nnc_nbx,False
10,msg43709423,https://bitcointalk.org/index.php?topic=2971918.0,msg41575269,848,Announcements (Altcoins),2018-08-08 13:12:01,Noxbox,Copper Member,45,0,,[ANN][ICO] Noxbox - world of services in a single click,   Thank you for your comment we are working hard on new version of Noxbox where user will be able to create demand or supply for services with his own price for it. We are planning to remove old versions from play market and make new one public in the end of this year,False
11,msg43710759,https://bitcointalk.org/index.php?topic=2971918.0,,848,Announcements (Altcoins),2018-08-08 13:35:37,jametoti,Member,238,10,,[ANN][ICO] Noxbox - world of services in a single click,"Noxbox is a service that helps us when we're at an affordable price, I think this could help people who are trouble",False
