id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg41086179,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-28 14:26:17,XcalibuRRR,Newbie,184,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"I congratulate your new aviation idea! There is some time until your fully launch of the production, I would be awaiting for the benefits to come in service! Wish you a success on your project.",True
2,msg41090630,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-28 15:30:35,BERgAMOT_BEHgEMOT,Newbie,133,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"Those prices are competitive? I doubt that. It must be much higher, otherwise you will lose money.",True
3,msg41108591,https://bitcointalk.org/index.php?topic=2964080.0,msg41090630,1175,Announcements (Altcoins),2018-06-28 20:24:22,InVE$$$tOR,Newbie,266,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"  Pretty competitive if you compare with others. But, I think it'll be far better if the price will decrease alongside with the increase of volume for buying. Just my 2 cents though.",True
4,msg41110211,https://bitcointalk.org/index.php?topic=2964080.0,msg41108591,1175,Announcements (Altcoins),2018-06-28 20:57:35,Garag,Newbie,165,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"  Well, it would great if I AM AERO would offer lower prices at the beginning. Make it a welcoming promo feature and lower them if possible.",True
5,msg41110642,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-28 21:07:22,GeRa_182,Newbie,280,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"Yes, new experimental project can struggle to capture attention, we don't want I AM AERO to be another in the shadows, which is neglected by the users.",True
6,msg41110909,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-28 21:13:27,Fett11,Newbie,330,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system, Does it have potential to replace current solutions for flying taxi and low cost helicopters?,True
7,msg41111131,https://bitcointalk.org/index.php?topic=2964080.0,msg41110909,1175,Announcements (Altcoins),2018-06-28 21:19:07,Garag,Newbie,165,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"    We can't say still that it may have, but it has a potential, but what I am looking for is their R-34, where you can have a full control of your helicopter. It may be still under development, but I know many users are looking forward to it too.",True
8,msg41111347,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-28 21:24:22,Paparazek,Jr. Member,336,1,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,Nicely done. Will you be offering accepting an express method in verification for the account so to have an ease in funding?,True
9,msg41111544,https://bitcointalk.org/index.php?topic=2964080.0,msg41111347,1175,Announcements (Altcoins),2018-06-28 21:29:15,VektoR171,Newbie,161,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"  You don’t have to register, just send money and you are good",True
10,msg41111733,https://bitcointalk.org/index.php?topic=2964080.0,msg41111544,1175,Announcements (Altcoins),2018-06-28 21:33:50,PISTON_1,Newbie,252,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"  Sweet, always wanted to participate in fully anonymous ICO ",True
11,msg41111986,https://bitcointalk.org/index.php?topic=2964080.0,msg41111733,1175,Announcements (Altcoins),2018-06-28 21:39:29,IlidaN,Newbie,164,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"    I think it’s not good at all. Security is under danger if you don’t have KYC verification. But devs know what to do, of course.",True
12,msg41112055,https://bitcointalk.org/index.php?topic=2964080.0,msg41111986,1175,Announcements (Altcoins),2018-06-28 21:41:37,Monopoli$T,Newbie,140,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,    I don’t think it’s a problem at all. It’s not an exchange or a wallet where you need to verify yourself. It’s another type of projects.,True
13,msg41112805,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-28 22:00:15,Mietegavol,Newbie,55,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"I am review in concept on your business, It's actually nice! Wise plan, interesting activity, extraordinary design.",True
14,msg41140496,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-29 10:36:44,Vinay Attrey,Newbie,20,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,projects from a good developer will definitely grow well. let's join this project,True
15,msg41293120,https://bitcointalk.org/index.php?topic=2964080.0,msg41044593,1175,Announcements (Altcoins),2018-07-01 15:07:07,Nightz,Hero Member,1078,500,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,   Even if they get released there is probably a lot of regulatory stuff to overcome before those things will be allowed to freely fly.,True
16,msg41041278,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-27 21:13:42,Jenkins_Shawn,Newbie,40,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"I am check in white paper on your plan, It is actually interesting.",True
17,msg41041527,https://bitcointalk.org/index.php?topic=2964080.0,msg41040674,1175,Announcements (Altcoins),2018-06-27 21:18:31,Fett11,Newbie,330,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"  Yeah, I agree. I'm looking forward for this project. It will be great if it works as promised, so I can invest into it.",True
18,msg41041604,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-27 21:19:57,STCruiser,Newbie,2,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"Interesting concept, will give it a look!",True
19,msg41042226,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-27 21:35:54,NENOPE,Newbie,57,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,Looked in the whitepaper and see that your helicpoters will support automatic pilot systems and I can’t wait. Hope there will be much demand on this helicopters to make the company grow!,True
20,msg41042847,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-27 21:53:19,Garag,Newbie,165,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,It's quite interesting and I will watch it and consider to join it after reading the white paper. What will you advice me to do? Read the website and then WP or conversely? I just want to have clear vision on it.,True
21,msg41043436,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-27 22:07:24,Speddislinew,Newbie,32,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"The project seems quite promising! Spotless results, apperceptive project,  detailed and profitable logo.",True
22,msg41043441,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-27 22:07:33,KeViN31,Newbie,101,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,How much is it for one token? And which exchanges do you intend to list this coin? I can’t find the information about it.,True
23,msg41043784,https://bitcointalk.org/index.php?topic=2964080.0,msg41043441,1175,Announcements (Altcoins),2018-06-27 22:17:37,CeNaToP,Newbie,280,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,  1 token costs $1. And the list of exchanges is on the website. It’s pretty good by the way. Such major exchanges like Bancor and HitBTC will cause this token fly to the moon!,True
24,msg41044319,https://bitcointalk.org/index.php?topic=2964080.0,msg41042226,1175,Announcements (Altcoins),2018-06-27 22:32:57,GeRa_182,Newbie,280,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"  That's sure, hope they will release their production to different countries, not only Russia. Because I think it will be interesting for people all around the globe.",True
25,msg41044422,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-27 22:36:10,samle,Member,186,10,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"on this thread the idea of this project is not yet clear, but on the project website I see a lot of information about this project, coin sales information is also interesting with many bonuses offered, where is the exchange of this coin?",True
26,msg41044593,https://bitcointalk.org/index.php?topic=2964080.0,msg41044319,1175,Announcements (Altcoins),2018-06-27 22:41:45,Imhotepp,Newbie,224,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"  Those helicopters could be the most important releases as it will let the people to buy it and help the company grow, they could also stay connected for a longer period for converting tokens maybe. I personally think that this project is long-term.",True
27,msg41045208,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-27 23:00:01,Tuginsu,Newbie,52,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"I think this plan is very nice and good! Riveting website, justifiable logo, seamless job!",True
28,msg41068218,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-28 09:31:31,Garag,Newbie,165,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"Very interesting project, I like idea of flying taxi and I wish you guys good luck with your project!",True
29,msg41069804,https://bitcointalk.org/index.php?topic=2964080.0,msg41068218,1175,Announcements (Altcoins),2018-06-28 09:58:08,DyxLEzz,Newbie,203,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"  Yes, because it could become a revolution in this field!",True
30,msg41070053,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-28 10:02:20,Razhabov,Newbie,238,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,Hello everyone. What are the main key differences/advantage about I AM AERO? Or why should I use IAM instead of the others? Thanks ,True
31,msg41071641,https://bitcointalk.org/index.php?topic=2964080.0,,1175,Announcements (Altcoins),2018-06-28 10:31:14,PeToR,Newbie,77,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"I'm looking forward for this project. It will be great if it works as descriptions are very attractive, the current solutions have not done that! I like this!",True
32,msg41073098,https://bitcointalk.org/index.php?topic=2964080.0,msg41071641,1175,Announcements (Altcoins),2018-06-28 10:59:10,Detroux,Newbie,65,0,,[ANN][Pre-ICO] The first ultralight helicopter with coaxial system,"  I do like the modular aspect behind the system, which is yet to be seen in this ecosystem.",True
