id,msg_id,parent_id,link_id,Count_read,Forum,Time,Author,Rank,Activity,Merit,Trust,Title,Body,ScamHeader
1,msg51381399,https://bitcointalk.org/index.php?topic=4918204.0,,19508,Announcements (Altcoins),2019-06-07 11:45:52,VeeIdee,Jr. Member,71,4,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,"$VIDT received 76.2% in our project evaluation, the highest rating we have assigned so far 📈 The reasons for that are the working live product from @v_id_blockchain as well as the dedicated team behind it 🔥",False
2,msg51412881,https://bitcointalk.org/index.php?topic=4918204.0,,19508,Announcements (Altcoins),2019-06-10 00:27:04,VeeIdee,Jr. Member,71,4,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,"Great interview by @alexlibertas_ (@DailyChainNews) on our progress, tech, partnerships with @CMS_Law_Tax, @axveco, @DigiByteCoin, @LTOnetwork and our contact with crypto heavy-weights like @RudyBouwman, @Brad_Laurie & @RickSchmitz.",False
3,msg51473185,https://bitcointalk.org/index.php?topic=4918204.0,,19508,Announcements (Altcoins),2019-06-15 06:40:56,EastSound,Sr. Member,1218,268,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,Does anyone had a rough idea about the big customer that the team is referring? 201 branches all over the world is a big thing.,False
4,msg51492573,https://bitcointalk.org/index.php?topic=4918204.0,,19508,Announcements (Altcoins),2019-06-16 20:28:09,Downtherabbithole,Jr. Member,68,1,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,It's digital document giant Amspec.,False
5,msg51495415,https://bitcointalk.org/index.php?topic=4918204.0,msg51492573,19508,Announcements (Altcoins),2019-06-17 05:20:51,EastSound,Sr. Member,1218,268,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,"   Yeah, it would be a great partner since they also are in the same field.  glad i bought without second thinking because the value is increasing. Still a low cap gem that yet only a few have found it.",False
6,msg51583692,https://bitcointalk.org/index.php?topic=4918204.0,,19508,Announcements (Altcoins),2019-06-24 12:38:59,Artichaud,Newbie,48,0,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,"just bought 2700 V-ID  This project is awesome! so underrated, its crazy",False
7,msg51662258,https://bitcointalk.org/index.php?topic=4918204.0,,19508,Announcements (Altcoins),2019-06-30 18:07:15,Pikavika,Newbie,27,0,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,why do we need tokens V-ID?,False
8,msg51677194,https://bitcointalk.org/index.php?topic=4918204.0,msg51662258,19508,Announcements (Altcoins),2019-07-02 03:11:34,EastSound,Sr. Member,1218,268,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,   4chan FUDers can no longer think a good fud?,False
9,msg51786316,https://bitcointalk.org/index.php?topic=4918204.0,,19508,Announcements (Altcoins),2019-07-11 13:41:16,Telepat,Newbie,252,0,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,On the stock exchange price has fallen greatly! This is the end?,False
10,msg51786601,https://bitcointalk.org/index.php?topic=4918204.0,,19508,Announcements (Altcoins),2019-07-11 14:04:27,zerkalisz,Member,349,10,,[ANN][ICO] V-ID - Let's end document fraud with Blockchain Powered Validation,VIDT Joins Binance Ecosystem to Connect Blockchain Validation Service with Binance Chain https://medium.com/@pim_vee/vidt-joins-binance-ecosystem-to-connect-blockchain-validation-service-with-binance-chain-898d2d1148d8,False
